analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
S_SO4,S_SO4,Concentration of sulfate sulfur reported as percent S,NULL,NULL,wtpct,s_so4,iron_sulfur,TRUE,TRUE,NULL,S-SO4 (wt%),NULL,20,NULL
Sanidine,Sanidine,Sanidine,NULL,NULL,wtpct,sanidine,mineralogy_composition,FALSE,TRUE,NULL,Sanidine (wt%),NULL,289,NULL
Saponite,Saponite,Saponite,NULL,NULL,wtpct,saponite,mineralogy_composition,FALSE,FALSE,NULL,Saponite (wt%),NULL,NULL,NULL
Sat,Saturated EOM,NULL,NULL,NULL,mg,sat,carbon,FALSE,FALSE,NULL,Saturated hydrocarbon (mg),NULL,NULL,NULL
Sb,Antimony,Antimony,51,121.75,ppm,sb,element,TRUE,TRUE,NULL,Sb (ppm),NULL,201,NULL
Sb-carb,Sb from the carbonate fraction,"Antimony extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,sb_carb,carbonate_proxy,FALSE,TRUE,NULL,Sb-carb (ppm),NULL,81,NULL
Sc,Scandium,Scandium,21,44.956,ppm,sc,element,TRUE,TRUE,NULL,Sc (ppm),NULL,202,NULL
Sc-auth,Sc from authigenic fraction,Authigenic scandium after light leach on shale,NULL,NULL,ppm,sc_auth,authigenic_proxy,FALSE,FALSE,NULL,Sc-auth (ppm),NULL,NULL,NULL
Sc-carb,Sc from the carbonate fraction,"Scandium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,sc_carb,carbonate_proxy,FALSE,TRUE,NULL,Sc-carb (ppm),NULL,82,NULL
Se,Selenium,Selenium,34,78.96,ppm,se,element,FALSE,TRUE,NULL,Se (ppm),NULL,203,NULL
Se-carb,Se from the carbonate fraction,"Selenium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,se_carb,carbonate_proxy,FALSE,TRUE,NULL,Se-carb (ppm),NULL,83,NULL
Sepiolite,Sepiolite,Sepiolite,NULL,NULL,wtpct,sepiolite,mineralogy_composition,FALSE,FALSE,NULL,Sepiolite (wt%),NULL,NULL,NULL
